Country, Year, Best estimate of deaths
Thailand,2012,1
Thailand,2012,2
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,2
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,2
Thailand,2012,2
Thailand,2012,1
Thailand,2012,1
Thailand,2012,2
Thailand,2012,2
Thailand,2012,3
Thailand,2012,3
Thailand,2012,2
Thailand,2012,1
Thailand,2012,1
Thailand,2012,4
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,5
Thailand,2012,2
Thailand,2012,1
Thailand,2012,2
Thailand,2012,2
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,5
Thailand,2012,2
Thailand,2012,1
Thailand,2012,4
Thailand,2012,1
Thailand,2012,2
Thailand,2012,1
Thailand,2012,3
Thailand,2012,2
Thailand,2012,2
Thailand,2012,1
Thailand,2012,2
Thailand,2012,1
Thailand,2012,1
Thailand,2012,2
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,5
Thailand,2012,1
Thailand,2012,2
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,3
Thailand,2012,3
Thailand,2012,4
Thailand,2012,6
Thailand,2012,1
Thailand,2012,2
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,12
Thailand,2012,1
Thailand,2012,1
Thailand,2012,2
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,2
Thailand,2012,2
Thailand,2012,1
Thailand,2012,1
Thailand,2012,3
Thailand,2012,1
Thailand,2012,2
Thailand,2012,12
Thailand,2012,2
Thailand,2012,3
Thailand,2012,3
Thailand,2012,2
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,0
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,2
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,1
Thailand,2012,4
Thailand,2012,1
Thailand,2012,1
Thailand,2012,2
Thailand,2012,0
Thailand,2012,12
